feature_1,feature_2,target
1.025781393237850558e+00,-3.182738002720570059e+00,1.000000000000000000e+00
-4.414139607234394802e+00,-2.483962470951293078e+00,1.000000000000000000e+00
2.583222130143804751e+00,-1.194797159972122547e+00,0.000000000000000000e+00
5.881891476303196420e+00,-1.312178777033842003e+00,0.000000000000000000e+00
5.705004248272245171e+00,-2.946422216518578274e+00,0.000000000000000000e+00
-1.004488398461553800e+00,-2.579881346694914868e+00,1.000000000000000000e+00
3.924844054122279324e+00,-2.127183657035362607e+00,0.000000000000000000e+00
-6.390560298450240762e-01,-1.744541377818190409e+00,1.000000000000000000e+00
3.427514325591431543e+00,-2.142750681887248376e+00,0.000000000000000000e+00
2.462669171092015663e+00,-5.739941225471412167e-01,0.000000000000000000e+00
5.745204587194415957e+00,6.203509512942576576e-01,0.000000000000000000e+00
-1.481147821548896282e+01,6.063544210957949154e+00,0.000000000000000000e+00
2.764562632791196073e+00,-1.314021025676517240e+00,0.000000000000000000e+00
1.911863118659517635e+00,-2.781149587013889590e+00,1.000000000000000000e+00
-1.845979622179345858e+00,-9.302507289720259864e-01,1.000000000000000000e+00
1.231920929054620140e-01,-3.990429048020714298e+00,1.000000000000000000e+00
-1.374428848448328111e+01,6.501695136681381548e+00,0.000000000000000000e+00
-2.219545859344951300e-02,-2.810517942125953184e+00,1.000000000000000000e+00
-1.398198621778992745e+01,5.210015624060804207e+00,0.000000000000000000e+00
-5.050028480698853794e-02,-3.583941592846298096e+00,1.000000000000000000e+00
-2.487380144491122991e+00,-1.186552115858475309e+00,1.000000000000000000e+00
-3.510295568896208973e+00,-2.397151146467542571e+00,1.000000000000000000e+00
4.425533195609512305e+00,-1.124369751631945080e-01,0.000000000000000000e+00
-8.175601019462861441e-01,-1.863384872758417687e+00,1.000000000000000000e+00
-3.082323166877694476e+00,-9.330569328395533768e-01,1.000000000000000000e+00
-7.909304055118631105e-01,-1.858317665464355395e+00,1.000000000000000000e+00
4.431305407012644082e+00,-3.579864144658412850e-01,0.000000000000000000e+00
-4.202554159683267732e-01,-2.339759511583427987e+00,1.000000000000000000e+00
5.186506232686760143e+00,7.400693094388587356e-01,0.000000000000000000e+00
-1.411320682214627276e+01,6.157844139021300123e+00,0.000000000000000000e+00
5.913138611346655082e+00,-1.245303306365440399e+00,0.000000000000000000e+00
-1.305900378686737717e+01,4.479161481997277150e+00,0.000000000000000000e+00
2.471323992209248921e+00,-1.588575877341754872e+00,0.000000000000000000e+00
-1.307714804103180484e+01,4.122189900902208493e+00,0.000000000000000000e+00
4.812919569815583998e+00,2.198554129905450072e-01,0.000000000000000000e+00
4.924120295033582728e+00,-1.566237023921730920e+00,0.000000000000000000e+00
-1.301104832819386026e+01,4.893455628875581276e+00,0.000000000000000000e+00
5.242196913185604323e+00,-1.675166693838048504e+00,0.000000000000000000e+00
-1.881309163041701815e+00,-7.933951217755750296e-01,1.000000000000000000e+00
-2.206539829344953407e+00,-2.095425871009580110e+00,1.000000000000000000e+00
-1.394804964594514862e+00,-3.333023515322619534e+00,1.000000000000000000e+00
7.954479475543993594e+00,3.842880039238835144e-01,0.000000000000000000e+00
-4.208702431838204028e+00,-1.706007891720359826e+00,1.000000000000000000e+00
6.867304541318347555e-01,-7.416843710950788982e-01,1.000000000000000000e+00
4.880842366806938948e+00,-6.883063137459511927e-01,0.000000000000000000e+00
3.767870399169612750e-01,-5.232884573059976674e+00,1.000000000000000000e+00
-2.166317230389758208e+00,-3.213740223862369572e+00,1.000000000000000000e+00
-2.759606619895598190e+00,-6.966112199013452244e-01,1.000000000000000000e+00
-3.401788649811239740e+00,-1.915996895682638534e+00,1.000000000000000000e+00
-1.276153114108416986e+01,5.642370383307182991e+00,0.000000000000000000e+00
7.028781124600312680e+00,-1.502634470398742650e+00,0.000000000000000000e+00
-1.213369252294369982e+00,-2.222640512162325166e+00,1.000000000000000000e+00
2.760261564386182531e+00,1.358617431801005804e-01,0.000000000000000000e+00
-1.218817435237590452e+01,6.626829850057982085e+00,0.000000000000000000e+00
-1.258430049058880451e+00,-3.662799049493782100e+00,1.000000000000000000e+00
1.675077162162975863e+00,-1.193078549440459657e+00,0.000000000000000000e+00
2.743453559304587230e+00,9.050136592138680047e-02,0.000000000000000000e+00
-1.749898250364833485e+00,-1.630416959431720603e+00,1.000000000000000000e+00
-9.115428932402369622e-01,-2.634755158531664865e+00,1.000000000000000000e+00
1.982079541058739292e+00,-3.693568151396809718e+00,1.000000000000000000e+00
1.753204133339026916e+00,-4.748629162739483878e-01,0.000000000000000000e+00
6.800873018324240515e-01,-2.804642241336799735e+00,1.000000000000000000e+00
-2.267403521588279069e+00,-1.594875194962289688e+00,1.000000000000000000e+00
-2.926127070793494767e+00,-3.280787798003493627e+00,1.000000000000000000e+00
-1.328953392935184041e+01,5.691748992148829345e+00,0.000000000000000000e+00
-1.259630476929222809e+01,7.467738798378658949e+00,0.000000000000000000e+00
-1.433591236956495685e+01,6.073469866556573393e+00,0.000000000000000000e+00
1.406334666338387107e+00,-4.274589815653400571e+00,1.000000000000000000e+00
5.213201329163958064e+00,-1.147163873633160636e+00,0.000000000000000000e+00
-1.243436686076769426e+01,5.964808290719607164e+00,0.000000000000000000e+00
2.447744725946212174e+00,8.733221499580827718e-01,0.000000000000000000e+00
2.249802497702391157e-02,-3.128060071509879414e-01,1.000000000000000000e+00
-1.368934526939737495e+01,5.148362136143670220e+00,0.000000000000000000e+00
-1.370715536121413614e+01,3.033654932983352648e+00,0.000000000000000000e+00
2.808156567048879282e+00,-8.244069470234816066e-01,0.000000000000000000e+00
1.216468455603183951e+00,-4.805184492151046705e+00,1.000000000000000000e+00
-2.826260138216130535e+00,1.089334681739753119e+00,1.000000000000000000e+00
2.322285053390154452e+00,-2.872706490413848290e-01,0.000000000000000000e+00
-1.370103247517983824e+01,3.567993528666778325e+00,0.000000000000000000e+00
3.863494291828588167e+00,-2.390143579376462935e+00,0.000000000000000000e+00
5.632587283734107331e+00,-1.657452231688318678e+00,0.000000000000000000e+00
4.675126736369486502e-01,-4.648398385432849444e+00,1.000000000000000000e+00
-3.367330041862508949e+00,-9.867003819230176775e-01,1.000000000000000000e+00
-5.620934452606653586e+00,-5.780285212013680507e-01,1.000000000000000000e+00
-1.466236073668287965e+01,4.679717572021433902e+00,0.000000000000000000e+00
3.274602712099210500e+00,-1.600708960650662149e+00,0.000000000000000000e+00
-1.806429586753758088e+00,-1.871158856121851288e+00,1.000000000000000000e+00
