feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
4.967141530112326731e-01,-1.382643011711846559e-01,6.476885381006924902e-01,1.523029856408025351e+00,-2.341533747233359719e-01,3.126193860044455541e-01,-3.334277125835651834e-01,6.751878469426292328e-01,1.211818832382508315e+00,-3.424226857599890761e-02,1.000000000000000000e+00
-2.341369569491805469e-01,1.579212815507391454e+00,7.674347291529087789e-01,-4.694743859349521098e-01,5.425600435859646575e-01,-2.779923872361151904e-01,1.137184085658355270e+00,2.584115908482868540e-01,-4.763095608230809574e-01,6.487305753508607609e-01,1.000000000000000000e+00
-4.634176928124622563e-01,-4.657297535702568658e-01,2.419622715660341150e-01,-1.913280244657797891e+00,-1.724917832513032767e+00,-7.298627887759727706e-01,-5.609958395710544776e-01,3.365189472306162610e-01,-1.565099187216970611e+00,-1.280196283583317385e+00,0.000000000000000000e+00
-5.622875292409726944e-01,-1.012831120334423796e+00,3.142473325952738761e-01,-9.080240755212111159e-01,-1.412303701335291706e+00,-5.158480617330656326e-01,-9.198640600157665936e-01,2.046530545058740380e-01,-5.834729149134290083e-01,-1.518342499260587397e+00,0.000000000000000000e+00
1.465648768921554046e+00,-2.257763004865356582e-01,6.752820468792383735e-02,-1.424748186213456780e+00,-5.443827245251826596e-01,1.319084831501592170e+00,-2.234511025314663002e-01,1.955141059232152478e-01,-8.842272179646626373e-01,-4.665906661256981058e-01,0.000000000000000000e+00
1.109225897098660846e-01,-1.150993577422302794e+00,3.756980183456719580e-01,-6.006386899188049799e-01,-2.916937497932767798e-01,-1.661083520474661013e-01,-7.533639646715655225e-01,4.559447531475033233e-01,-3.664134857623293495e-01,-4.644965148180044689e-01,0.000000000000000000e+00
-6.017066122293969199e-01,1.852278184508937775e+00,-1.349722473793391400e-02,-1.057710928955899909e+00,8.225449121031890298e-01,-2.716687595733990879e-01,1.417590739866009697e+00,3.107852324334843264e-01,-8.258241014703661120e-01,6.175147750989365969e-01,1.000000000000000000e+00
-1.220843649971022238e+00,2.088635950047554035e-01,-1.959670123879775572e+00,-1.328186048898430505e+00,1.968612358691235187e-01,-8.791199557599502779e-01,-1.500342653501141044e-01,-1.297045369579580054e+00,-7.629464850578591140e-01,3.534898359220775554e-01,0.000000000000000000e+00
7.384665799954104326e-01,1.713682811899704950e-01,-1.156482823882405281e-01,-3.011036955892887890e-01,-1.478521990367427374e+00,4.439265996021207750e-01,3.651081942510084333e-01,1.767957066114667353e-01,-3.034502510817354559e-01,-1.121787425118947468e+00,0.000000000000000000e+00
-7.198442083947086401e-01,-4.606387709597875024e-01,1.057122226218915717e+00,3.436182895684614103e-01,-1.763040155362733952e+00,-6.041812941833363260e-01,-5.359290434908379197e-01,1.134431844808380330e+00,4.810784993281504995e-01,-1.180813951010700746e+00,0.000000000000000000e+00
