feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,target
4.967141530112326731e-01,-1.382643011711846559e-01,6.476885381006924902e-01,1.523029856408025351e+00,-2.341533747233359719e-01,-2.341369569491805469e-01,1.579212815507391454e+00,7.674347291529087789e-01,-4.694743859349521098e-01,5.425600435859646575e-01,-4.634176928124622563e-01,-4.657297535702568658e-01,2.419622715660341150e-01,-1.913280244657797891e+00,-1.724917832513032767e+00,-5.622875292409726944e-01,-1.012831120334423796e+00,3.142473325952738761e-01,-9.080240755212111159e-01,-1.412303701335291706e+00,1.465648768921554046e+00,-2.257763004865356582e-01,6.752820468792383735e-02,-1.424748186213456780e+00,-5.443827245251826596e-01,1.109225897098660846e-01,-1.150993577422302794e+00,3.756980183456719580e-01,-6.006386899188049799e-01,-2.916937497932767798e-01,-6.017066122293969199e-01,1.852278184508937775e+00,-1.349722473793391400e-02,-1.057710928955899909e+00,8.225449121031890298e-01,-1.220843649971022238e+00,2.088635950047554035e-01,-1.959670123879775572e+00,-1.328186048898430505e+00,1.968612358691235187e-01,7.384665799954104326e-01,1.713682811899704950e-01,-1.156482823882405281e-01,-3.011036955892887890e-01,-1.478521990367427374e+00,-7.198442083947086401e-01,-4.606387709597875024e-01,1.057122226218915717e+00,3.436182895684614103e-01,-1.763040155362733952e+00,3.240839693947950018e-01,-3.850822804163165358e-01,-6.769220003059587265e-01,6.116762888408678878e-01,1.030999522495950949e+00,9.312801191161985681e-01,-8.392175232226385395e-01,-3.092123758512145826e-01,3.312634314035639571e-01,9.755451271223591903e-01,-4.791742378452899520e-01,-1.856589766638171157e-01,-1.106334974006028204e+00,-1.196206624080670800e+00,8.125258223941980162e-01,1.356240028570822931e+00,-7.201012158033384680e-02,1.003532897892024156e+00,3.616360250476341465e-01,-6.451197546051242737e-01,3.613956055084139307e-01,1.538036566465969202e+00,-3.582603910995153101e-02,1.564643655814005996e+00,-2.619745104089744370e+00,8.219025043752238302e-01,8.704706823817133510e-02,-2.990073504658678494e-01,9.176077653550229751e-02,-1.987568914600892800e+00,-2.196718878375119310e-01,3.571125715117464128e-01,1.477894044741516089e+00,-5.182702182736473873e-01,-8.084936028931876129e-01,-5.017570435845365440e-01,9.154021177020741362e-01,3.287511096596844595e-01,-5.297602037670388064e-01,5.132674331133560974e-01,9.707754934804038727e-02,9.686449905328892163e-01,-7.020530938773523744e-01,-3.276621465977682113e-01,-3.921081531321576330e-01,-1.463514948132118576e+00,2.961202770645760540e-01,2.610552721798893305e-01,5.113456642460900183e-03,-2.345871333751474164e-01,1.000000000000000000e+00
-1.415370742050414243e+00,-4.206453227653590421e-01,-3.427145165267694860e-01,-8.022772692216189050e-01,-1.612857116660091350e-01,4.040508568145383950e-01,1.886185901210530202e+00,1.745778128318389577e-01,2.575503907227639777e-01,-7.444591576616710338e-02,-1.918771215299041488e+00,-2.651387544921687822e-02,6.023020994102643716e-02,2.463242112485286128e+00,-1.923609647811225232e-01,3.015473423336124670e-01,-3.471176970524331162e-02,-1.168678037619532040e+00,1.142822814515020546e+00,7.519330326867741388e-01,7.910319470430469124e-01,-9.093874547947389253e-01,1.402794310936099187e+00,-1.401851062792280889e+00,5.868570938002702908e-01,2.190455625809978546e+00,-9.905363251306883443e-01,-5.662977296027719154e-01,9.965136508764121936e-02,-5.034756541161992116e-01,-1.550663431066132691e+00,6.856297480602732697e-02,-1.062303713726104881e+00,4.735924306351815827e-01,-9.194242342338033724e-01,1.549934405017539873e+00,-7.832532923362370836e-01,-3.220615162056755798e-01,8.135172173696697540e-01,-1.230864316433955219e+00,2.274599346041294157e-01,1.307142754282428099e+00,-1.607483234561227547e+00,1.846338585323042125e-01,2.598827942484234765e-01,7.818228717773100245e-01,-1.236950710878081949e+00,-1.320456613084276309e+00,5.219415656168976403e-01,2.969846732331860584e-01,2.504928503458766498e-01,3.464482094969758563e-01,-6.800247215784908095e-01,2.322536971610035528e-01,2.930724732986812464e-01,-7.143514180263678126e-01,1.865774511144756564e+00,4.738329209117875251e-01,-1.191303497202648609e+00,6.565536086338297217e-01,-9.746816702273214394e-01,7.870846037424520381e-01,1.158595579007404064e+00,-8.206823183517104603e-01,9.633761292443218105e-01,4.127809269364983158e-01,8.220601599944900029e-01,1.896792982653947357e+00,-2.453881160028704989e-01,-7.537361643574895798e-01,-8.895144296255232952e-01,-8.158102849654382815e-01,-7.710170941410411649e-02,3.411519748166434995e-01,2.766907993300190549e-01,8.271832490360238044e-01,1.300189187790701945e-02,1.453534077157316862e+00,-2.646568332379560795e-01,2.720169166589618825e+00,6.256673477650062098e-01,-8.571575564162825511e-01,-1.070892498061112308e+00,4.824724152431852930e-01,-2.234627853258508434e-01,7.140004940920918752e-01,4.732376245735448461e-01,-7.282891265687277405e-02,-8.467937180684049769e-01,-1.514847224685864635e+00,-4.465149520670210759e-01,8.563987943234723232e-01,2.140937441302039612e-01,-1.245738778711988015e+00,1.731809258511819993e-01,3.853173797288367841e-01,-8.838574362011329955e-01,1.537251059455279067e-01,5.820871844599989631e-02,-1.142970297830623094e+00,1.000000000000000000e+00
3.577873603482832898e-01,5.607845263682343928e-01,1.083051243175277012e+00,1.053802052034902959e+00,-1.377669367957091051e+00,-9.378250399151227823e-01,5.150352672086597750e-01,5.137859509122087998e-01,5.150476863060478028e-01,3.852731490654720758e+00,5.708905106931669859e-01,1.135565640180598912e+00,9.540017634932023149e-01,6.513912513057980025e-01,-3.152692446403455584e-01,7.589692204932672048e-01,-7.728252145375718030e-01,-2.368186067400088746e-01,-4.853635478291034588e-01,8.187413938632255583e-02,2.314658566673508666e+00,-1.867265192591748280e+00,6.862601903745135790e-01,-1.612715871189651873e+00,-4.719318657894335245e-01,1.088950596967366291e+00,6.428001909546277037e-02,-1.077744777929306119e+00,-7.153037092599682234e-01,6.795977489346758382e-01,-7.303666317171366718e-01,2.164585895819748640e-01,4.557183990381376976e-02,-6.516003476058168653e-01,2.143944089325325653e+00,6.339190223180112271e-01,-2.025142586657607158e+00,1.864543147694276426e-01,-6.617864647683879831e-01,8.524333347962239626e-01,-7.925207384327006555e-01,-1.147364414668990140e-01,5.049872789804571438e-01,8.657551941701214782e-01,-1.200296407055776227e+00,-3.345012358409483744e-01,-4.749453111609561740e-01,-6.533292325737118933e-01,1.765454240281096876e+00,4.049817109609555321e-01,-1.260883954335045187e+00,9.178619470547760839e-01,2.122156197012633250e+00,1.032465260551146846e+00,-1.519369965954013413e+00,-4.842340728662513638e-01,1.266911149186622731e+00,-7.076694656187807464e-01,4.438194281462284341e-01,7.746340534293367774e-01,-9.269304715780829484e-01,-5.952535606180008043e-02,-3.241267340069072578e+00,-1.024387641334289833e+00,-2.525681513931603006e-01,-1.247783181964849497e+00,1.632411303931635249e+00,-1.430141377960632676e+00,-4.400444866969837610e-01,1.307405772860913418e-01,1.441273289066115515e+00,-1.435862151179439383e+00,1.163163752154959596e+00,1.023306101958704889e-02,-9.815086510479509307e-01,4.621034742632707526e-01,1.990596955734700302e-01,-6.002168771587946816e-01,6.980208499001885891e-02,-3.853135968617599216e-01,1.135173452512479864e-01,6.621306745210463474e-01,1.586016816145352060e+00,-1.237815498826849048e+00,2.133033374656266634e+00,-1.952087799522501887e+00,-1.517850950355832396e-01,5.883172064845761939e-01,2.809918677350327076e-01,-6.226995198205939053e-01,-2.081222503572753291e-01,-4.930009346588331010e-01,-5.893647569442117540e-01,8.496020970210249601e-01,3.570154859650473411e-01,-6.929095952606542097e-01,8.995998754332507064e-01,3.072995208766093334e-01,8.128621188389600905e-01,6.296288419236122369e-01,1.000000000000000000e+00
-8.289950109220725061e-01,-5.601810401969696818e-01,7.472936051232618171e-01,6.103702654334648425e-01,-2.090159396414813242e-02,1.173273833087819934e-01,1.277664895788424904e+00,-5.915713888358299366e-01,5.470973811700376999e-01,-2.021926524338939768e-01,-2.176812032272203712e-01,1.098776851987190328e+00,8.254163489880298465e-01,8.135096360006385252e-01,1.305478807154329068e+00,2.100384163275904881e-02,6.819529712949639055e-01,-3.102667565934560390e-01,3.241663524884421110e-01,-1.301430543676845852e-01,9.699596499271818939e-02,5.951570254369136226e-01,-8.182206832334725233e-01,2.092387275685460235e+00,-1.006017381499701990e+00,-1.214188612787732158e+00,1.158110873500067806e+00,7.916626939629358706e-01,6.241198170521551347e-01,6.283455092642799000e-01,-1.224677284691462302e-02,-8.972543714858315367e-01,7.580455819372633464e-02,-6.771617115121116859e-01,9.751197334177511555e-01,-1.470573815021386510e-01,-8.254971967925115450e-01,-3.213858416529934425e-01,4.129314542756244988e-01,-5.637245528039749320e-01,-8.222203955664314501e-01,2.436872114919123034e-01,2.449665711087227749e-01,-5.069431753711297617e-01,-4.710383056183227724e-01,2.320499373576362934e-01,-1.448084341497324123e+00,-1.407463774376555232e+00,-7.184442212524360105e-01,-2.134471517118472494e-01,3.109075655980045871e-01,1.475356216949551991e+00,8.576596232020193833e-01,-1.599385299634271118e-01,-1.901620790268883018e-02,-1.002529364637808840e+00,-1.851313599238990290e-02,-2.886586389201378777e-01,3.227185603380894885e-01,-8.272309435523229615e-01,5.193465142411722857e-01,1.532738913002577696e+00,-1.087601484568575944e-01,4.017117220989414594e-01,6.901439917111125144e-01,-4.012204718858362607e-01,2.240924818104167715e-01,1.259240078179485987e-02,9.767609854883171905e-02,-7.730097838554664813e-01,2.451017425894269630e-02,4.979982912454494759e-01,1.451143607795041701e+00,9.592708260852068625e-01,2.153182457511556347e+00,-7.673475628880495059e-01,8.723206367206781664e-01,1.833420057383517432e-01,2.189802933217672276e+00,-8.082982853551514690e-01,-8.397218421807760569e-01,-5.993926454440221541e-01,-2.123895724309806887e+00,-5.257550216807610477e-01,-7.591326615536979627e-01,1.503937864762076304e-01,3.417559757771594375e-01,1.876170839215886232e+00,9.504238381860502516e-01,-5.769036556624030920e-01,-8.984146713483579516e-01,4.919191715065057147e-01,-1.320233207020642174e+00,1.831458765854353743e+00,1.179440120721287011e+00,-4.691756521047047990e-01,-1.713134529090877933e+00,1.353872374165413284e+00,-1.145398452526178862e-01,1.237816311973461758e+00,1.000000000000000000e+00
-1.594427658794367098e+00,-5.993750229537728735e-01,5.243699718183165819e-03,4.698059376474205545e-02,-4.500654714792436395e-01,6.228499323474987470e-01,-1.067620429382594383e+00,-1.423794850212934948e-01,1.202956317118988594e-01,5.144388340587490172e-01,7.116148780888895686e-01,-1.124642091837869007e+00,-1.534114170735622285e+00,1.277676821898509063e+00,3.323140119795916503e-01,-7.484865365565536166e-01,1.551151975522522930e+00,1.156746342928586663e-01,1.179297184063826442e+00,6.751848141010895199e-02,2.060747924881987103e+00,1.755340842443204430e+00,-2.489641484790734993e-01,9.715709509543554168e-01,6.453759495851475458e-01,1.368631557532348664e+00,-9.649234605801044751e-01,6.860514599984393058e-01,1.058424486849587787e+00,-1.758739486423114284e+00,-1.183258512665775086e+00,-2.039232177760100573e+00,-2.694068344445576524e-01,7.175422557959620917e-01,1.502357052096028101e+00,7.409478041977518581e-02,1.628615545571291845e+00,-1.380101458214891386e+00,-1.703382439355154654e+00,-5.554769889661877874e-02,3.840654489393072746e-01,-3.269474809409311095e-02,-2.067442100039876607e+00,-8.912003951278840708e-02,-1.304469500504853219e+00,6.696725488300384610e-01,3.665982460968482681e-01,-9.398797863273552489e-01,-5.138669173366935405e-01,-1.059213521888951570e+00,-6.267909727317187707e-02,9.551423205012382622e-01,-9.857260463355437263e-01,5.040465155178444068e-01,-5.302576183724407866e-01,-7.928728322623441738e-01,-1.070303599545578271e-01,-1.035242322419374084e+00,-5.536493053471820414e-01,-1.197877892588848470e+00,1.964725132916389283e+00,3.526355197172861139e-02,-6.997255079925853716e-01,2.139799107342219564e-01,-1.123280496908296289e-01,-2.209695995332225937e-01,6.141667000434252177e-01,7.575077100473051050e-01,-5.305011476105274681e-01,-5.758182406446800128e-01,-2.750516971516440146e-01,-2.301921164735584835e+00,-1.515191062198552041e+00,1.366874267444524449e+00,1.644967713501283679e+00,-2.490360395563783191e-01,5.765569630557664249e-01,3.112501545435361061e-01,3.078880808455237705e+00,1.119574911434576769e+00,-1.279175914807665349e-01,-9.555404406004257556e-01,-1.606446320257572502e+00,2.034636358672231027e-01,-7.563507452843033496e-01,-1.422253709597674165e+00,-6.465728842425266798e-01,-1.081548003614395181e+00,1.687141635072564760e+00,8.816397569494505149e-01,-7.972641316617375476e-03,1.479944138890026295e+00,7.736830764761830348e-02,-8.612842013282636655e-01,1.523124077269657262e+00,5.389100436846586684e-01,-1.037246154326456393e+00,-1.903386780836081871e-01,-8.756182533847574057e-01,-1.382799730964336282e+00,0.000000000000000000e+00
9.261775475316413875e-01,1.909416640470130488e+00,-1.398567573819141208e+00,5.629692366905708623e-01,-6.506425691218271634e-01,-4.871253837646962181e-01,-5.923939242388691628e-01,-8.639907696798160286e-01,4.852162794482699215e-02,-8.309501164110377758e-01,2.704568257798388164e-01,-5.023810944913695287e-02,-2.389480468664097468e-01,-9.075636620415978850e-01,-5.767713305683327407e-01,7.553912258257560186e-01,5.009171876243807553e-01,-9.775552447985510485e-01,9.933230542922587281e-02,7.513871233717890341e-01,-1.669405281121371765e+00,5.433601923799350475e-01,-6.626237589458466859e-01,5.705986685931593305e-01,-7.632591565425168589e-01,-1.804882100664519040e+00,-1.627542437883162663e+00,4.808494666138199425e-02,2.597225017214818688e-01,-9.043166251044085779e-01,6.385924587773739169e-01,-1.661520062268959874e+00,-6.607979864731657049e-02,-1.211016199762456447e+00,-6.518361078021591704e-01,4.739867131641401637e-02,-8.604133652839524027e-01,-3.845555442298253523e-01,1.006292809214440531e+00,-5.768918695231487481e-01,8.356921120651418233e-01,-1.129706854657618109e+00,5.298041779152827813e-01,1.441568620657900368e+00,-2.471644500127289312e+00,-7.968952554704767932e-01,5.770721271805400177e-01,-2.030453860429926871e-01,3.711458733713088320e-01,-6.039851867158205767e-01,8.658978747289991507e-02,-1.556772353920794771e-01,1.167782061659807358e+00,2.544208433012131176e-01,3.376026620752021756e-01,-4.118769661224673806e-01,-4.876062240724935437e-01,-4.325581878196209096e-01,3.944521423782968439e-01,-4.209844808202629629e-01,2.897748568964128579e-01,2.075400798645438361e+00,8.711247034316923488e-01,-3.260235321678411347e-01,1.201213922163944847e+00,-4.080753730215513908e-01,-2.038124535177853858e+00,-1.008086310917404083e+00,-1.870791921025855675e+00,-3.515134840413086659e-01,1.841837918955169934e-02,1.676437312275282698e+00,3.269273737641626432e-01,-2.191005288088642422e-01,8.294055811834891712e-01,-2.211135309007885130e+00,2.356145581085659357e-01,7.708651938869668374e-01,-1.478586245779841546e+00,1.143754043206929083e+00,3.384964074944141199e-01,-4.152879139008012754e-01,6.327818661062848404e-01,2.270692857804395892e+00,1.818662550584951576e-01,2.482205863003360824e-01,-4.593608995402441164e-01,-8.498443694647918045e-01,8.303358165442455974e-01,-8.560838259088672242e-01,7.156623721939246729e-02,-4.776574467651166778e-01,4.789798257463920295e-01,3.336621052869484516e-01,1.037539944257899416e+00,-5.100163988547471439e-01,-2.698749352933712542e-01,-9.787637157823073641e-01,-4.442932600761113626e-01,3.773004930448519700e-01,0.000000000000000000e+00
7.569886166453518861e-01,-9.221653241776254228e-01,8.696059201056601795e-01,1.355637858804950913e+00,4.134349032237008559e-01,1.876795812558065935e+00,-7.737891991035730221e-01,-1.244654703311417032e+00,-1.778720248904278600e+00,1.496044311489183043e+00,6.543656563540577453e-01,-5.558467091045506819e-02,2.799686263198202796e-01,-1.125489047298376510e+00,2.445751979616826333e+00,1.292211819752275004e-01,1.093947946048929309e-01,7.257666238986922869e-01,4.810092317367132275e-01,2.238840242791313717e-01,-7.904744554453119187e-01,4.714683571359957193e-01,1.882024496475033670e+00,1.345420046154977678e+00,1.593186626639397252e+00,-5.112156764311852619e-01,-9.896048202585808751e-01,-1.257869200996481474e-01,5.572491228869460439e-02,1.094191518470948532e+00,-1.692464629714819369e+00,1.529550319460613705e+00,-1.580078985789894197e-01,-4.268810699474200332e-01,-1.012104375260167721e+00,-1.654856671865769790e+00,8.231705839619145593e-01,7.331796718840388749e-02,-1.289960899741053879e+00,-1.295078772063616102e+00,-3.357846992901282190e-01,1.669021525289392960e+00,-2.595913513636047831e-01,-1.503142953118106195e+00,-2.457430640859440685e-01,-2.727235697476702025e-01,-2.696886642941571655e+00,-5.429486651781220696e-02,-2.309345302086779628e-01,6.962063648134183547e-01,1.848956094945345185e+00,1.126565029547757391e+00,-2.688886905548305006e-01,-1.106525908741670117e+00,2.573359803249860356e+00,5.921843401448825817e-02,1.392929191294620291e-02,-2.412508711000327724e-02,1.980847607678553335e-01,-1.443604119239427497e-01,-5.736620068802362749e-01,-5.468589412403921379e-01,-3.275327021599838684e-02,-5.434247711337649722e-01,-7.128457826771643635e-01,1.064302276918968337e-01,-2.549772174208552178e-01,1.503992988582688373e+00,-2.650969808393011995e+00,1.091506851922461774e+00,1.246085192497629057e+00,-2.073390232408149458e+00,-3.426875940803487675e-01,-3.714408659957914582e-01,-1.407511694717821227e+00,-7.778166875908752997e-01,-1.110575845465828770e+00,1.752270443423622703e+00,9.356783931474611515e-01,1.271555094994158752e+00,7.216720640432349176e-01,-1.129051771217228994e+00,-5.245202662797736615e-01,4.893745612279180590e-01,-1.222127808891945389e+00,7.129984301723880646e-01,-2.403253981581348619e-01,-3.748208075495972347e-01,7.109599682034917212e-01,4.442633114860399246e-01,-3.609661658190799205e-01,1.159329803364248068e+00,-1.081063327599897317e+00,6.159356069442637471e-01,5.931012579683837549e-01,-3.095464393139902848e-01,3.261330222421179870e-01,-1.251113576385303183e+00,9.240270192069010013e-01,-1.849021364429890291e-01,1.000000000000000000e+00
-5.227230205190395163e-01,1.049009225836889270e+00,-7.043436905427592487e-01,-1.408461296363559656e+00,-1.556629173523903731e+00,6.060099513456396192e-01,-1.280429352496283091e+00,1.754794181984364654e+00,-2.081929407883722050e+00,1.696456368290038208e+00,2.110174672026184084e-01,-9.671311187039238755e-02,-5.449190868089495154e-01,3.991361143520707477e-01,-3.763470242484837774e-02,1.103301882016521906e+00,1.142276486620396464e-01,1.503017614618775977e-01,-3.636122122138558677e-01,-5.694562372106745651e-02,3.078017688920591799e-01,-1.710168392656625347e+00,-1.348185422105713016e+00,7.432640940227149828e-01,1.708654381279418599e-01,-1.839833363526791332e-01,1.843393306539315921e-02,3.475817053616710450e-01,-5.397596803093615003e-01,-7.783047254023126582e-01,1.958452550976815532e-01,-9.783727776150320521e-01,4.082527557144718378e-01,-1.702583604237840387e+00,1.029155637325643635e+00,4.725974824130430019e-01,2.560297343138756565e-01,9.826909839455139073e-01,1.665474444462576642e+00,1.014370065018130429e+00,-1.840874231331645294e+00,-1.279576966735701538e+00,-6.248185776956788340e-01,2.609105021083378551e-02,5.176590204691230435e-01,-7.257438131534655890e-01,1.867667644770783231e-01,-7.553829323533225448e-01,-6.115178029919482450e-01,-1.406661096848222270e+00,-9.232332461109042931e-01,-1.351684605616333634e+00,-9.758732529773327391e-01,1.053641796607839520e+00,-9.493988888319430108e-01,2.632382064837390789e+00,4.933179008808892263e-01,1.848361236948738995e-01,-8.583577801812133368e-01,7.003098794089911427e-01,-5.756378262377739308e-01,1.220098146453614391e-01,2.560084538268794674e+00,-9.605989972464987203e-02,1.149273326285675800e+00,-7.031764251258874054e-01,-3.498849049696169805e-02,1.770800635635509934e+00,-6.269670577877674011e-01,1.812448557996928722e+00,7.077519354554754338e-01,-5.624667758942676343e-01,6.324077390555208344e-01,9.725544496267296557e-01,6.218099622171964214e-01,-1.570224719890456422e+00,-7.271371758248685868e-01,-2.475186355515047454e-01,-7.443342910004628610e-02,6.206720975506779814e-01,1.777010009332538332e-01,-1.335344358710101265e+00,3.801978510059632055e-01,6.105857452838231447e-01,5.597904479310398251e-01,1.080780725554621791e+00,8.339221545489040599e-01,4.591800792284366772e-01,-7.016571145864700099e-02,-1.660960933515990945e+00,4.296182191325858546e-01,2.076876871631111454e-01,2.715788371953735125e-01,-1.276748575820309650e+00,-1.081056540408262379e+00,1.053152853332903538e+00,-3.955515385665504119e-02,6.815006973726244199e-01,2.831837613045930929e-02,2.975613949574323555e-02,1.000000000000000000e+00
9.382838059759976979e-01,-5.160447282173739048e-01,9.612077694098343505e-02,-4.622752887050427528e-01,-4.344962274323155849e-01,-3.091721234686393704e-01,2.221337716337127566e-01,-4.787486216634770919e-01,1.255756125573520787e+00,-8.946073022195039082e-01,-1.868716441613590407e-01,-4.397310582741749130e-01,1.446977884353732868e+00,1.965547765115746304e-01,1.031844539468634858e+00,-1.485560373036971971e+00,2.670502658692588405e-01,8.896307956234370540e-01,8.228398927542418528e-02,1.065480375065351204e+00,-5.172884501003721658e-01,1.409347440185579892e+00,2.298898123619250278e+00,-3.628385604396590636e-01,-4.455025214007717893e-01,1.453384477117700913e+00,1.579572145730712363e+00,-5.228600271532682919e-01,-4.201868170958575344e-01,-2.817846088605073795e-01,-1.344450511034277040e+00,-9.186519464841982341e-01,-1.004140766752067870e+00,-7.677975651041284433e-01,-3.468488738678110472e-02,2.342147325365202259e-01,1.550500492814076869e+00,-9.983540407387909710e-01,9.843223984765837598e-01,-2.139888442255089562e-01,-4.946370965243293560e-02,6.748194921666035295e-01,-1.122722021562298611e+00,3.824097461840506029e-01,1.664522082130559799e-01,4.924512640081488146e-01,2.891686439078181015e-01,2.455300139910894242e+00,-6.377399842513159500e-01,-5.309969550018176498e-01,-6.231405264247643627e-01,-5.554771191602546621e-01,-6.373871273065176979e-01,1.189016531107551788e+00,1.420504247989854862e+00,-5.707462937494762745e-01,-8.323555731042286965e-01,4.714155563864040888e-01,-5.522230442809715756e-01,6.329318177555111058e-01,2.029230208512997069e-01,-1.515744114997231939e+00,1.547505201330061642e+00,1.795877673095521709e+00,-6.127886904843860005e-01,-3.877015599359840414e-01,2.858653907249051329e-01,3.344567899870251604e-01,6.585442726728304441e-01,2.010204538766349636e+00,-1.769472274940493972e-01,-7.982972445384537430e-01,-1.379319228014527221e+00,-7.309300399419190741e-01,-3.312697287379709477e-02,1.794557863517787677e+00,-5.176112990361714239e-01,2.237879516388985024e-01,-1.642289607275207453e-02,1.188393273448083987e+00,2.526932425873621657e+00,-5.308687729203206418e-01,-4.894394425182221342e-01,1.044160877069072013e+00,6.818914896263114089e-01,1.846707325736033578e+00,5.839281853259639110e-01,-3.592920907870595371e-01,5.906548306923092850e-01,1.108703580582907744e+00,8.204821811973642687e-01,5.072740311072978514e-01,1.066674689589153902e+00,1.169295590445672772e+00,1.382158991037527151e+00,6.487098875896426531e-01,-1.671180803168543505e-01,1.467136864333228319e-01,1.206508966508356817e+00,-8.169356709872360733e-01,1.000000000000000000e+00
3.686733088729011731e-01,-3.933388123273606762e-01,2.874482293481748704e-02,1.278451862607298706e+00,1.910990680199033398e-01,4.643654815614881026e-02,-1.359856140979919248e+00,7.462535660272207050e-01,6.454841811410754193e-01,2.163254723305460203e+00,-3.077782349530005512e-01,2.191503276639387710e-01,2.493836837107552551e-01,1.577453279763474381e+00,-9.529553238695209760e-02,2.790215257703392293e-01,6.078965097165391906e-01,1.866091231563581088e-01,-4.464336145505282682e-01,1.940899928983075839e-01,1.073631749859772055e+00,-1.026515299411060234e+00,1.329696741468759935e-01,-7.001208149391732194e-01,1.195046628924842480e+00,-1.523186904783774720e+00,-5.589218472715883346e-01,3.772118750645208629e-01,1.565524029234340420e+00,-6.575026107298780065e-02,-5.551995266931982753e-01,1.881157069440589913e+00,-1.448013900416244004e+00,-2.198805956620081936e+00,4.400144500533323955e-01,-5.020542243526111559e-01,-1.021232817130713233e+00,7.083564472993533201e-01,2.438007137711988292e-01,-5.640786307367283703e-01,-1.280304398670894406e+00,8.724573282801446616e-01,6.502011779586609475e-01,-9.917586377938290843e-02,1.846636996047665846e+00,-1.070084766326152570e+00,-1.525525170924738827e+00,-6.919080698812444252e-01,-4.558601635549780484e-02,2.433394493226918309e-01,-2.412360578563298719e-01,3.520553965142967923e-01,-1.251539424190444283e+00,1.443764604073259683e+00,-8.215117839256882992e-02,1.117295831588127841e+00,3.427253463777041320e-01,4.567532191537839181e-01,5.697672802322036878e-01,4.477085600173147939e-01,6.427227598675439024e-01,1.329152530132431398e+00,1.965211697014701275e-01,7.090037575885123067e-01,-8.973569428722671937e-02,1.440117215449472798e+00,-6.763923020592697011e-01,1.800940432910815625e+00,-4.015795064434340977e-02,-1.430775102118048148e+00,1.281044149107892771e-01,-6.810516574748808338e-01,8.406435489887242873e-01,-6.526239793023911329e-01,-4.461834332147797122e-01,-1.889540730945530989e+00,-4.523063192490767159e-01,-2.423879326628956665e+00,-1.583902823485723310e+00,7.604146561442973740e-01,7.858001586508321923e-01,4.254575617849647440e-01,-9.669761431292129839e-01,-4.771135614197985486e-02,-3.602539090568403126e-03,-1.158364689192542318e+00,1.503398301767150613e+00,8.773622905756713886e-01,-2.209641738296639346e-01,2.688583899453077936e-02,2.083828079475524842e-01,-2.041734868424290639e+00,-2.471773825205969277e-01,-6.819842479977985539e-01,-1.001620009894915508e+00,-2.811002928859548944e-01,1.797686526849522570e+00,6.408428612670098445e-01,-5.711789897827967977e-01,5.725827813561585877e-01,0.000000000000000000e+00
