feature_1,feature_2,target
1.099258369349536357e+00,-4.407423504831877725e-01,1.000000000000000000e+00
1.301072158016342906e+00,-5.365625477605264759e-01,1.000000000000000000e+00
7.409995536138396233e-01,4.507257670522147874e-01,0.000000000000000000e+00
1.915876954135353083e+00,-8.667229929220854334e-02,1.000000000000000000e+00
-2.843429221256143363e-02,8.566600509724829893e-01,0.000000000000000000e+00
-6.662841048039104541e-02,1.133077696556873626e+00,0.000000000000000000e+00
1.379222524656868565e+00,-2.633480401547019234e-01,1.000000000000000000e+00
-5.142987319771064048e-01,1.091314084257993144e+00,0.000000000000000000e+00
-1.013101144053071945e+00,2.685866935670831457e-01,0.000000000000000000e+00
1.469511072985101752e+00,-4.927880402956714700e-01,1.000000000000000000e+00
4.988404533896351745e-01,8.296453685681151047e-01,0.000000000000000000e+00
9.910622659163750847e-02,-1.752439035654706490e-01,1.000000000000000000e+00
6.990160392654480581e-02,5.267573175437183508e-01,1.000000000000000000e+00
1.788796369231485661e-01,-7.865910506317241868e-03,1.000000000000000000e+00
4.830097884415824327e-01,-5.496106350903936510e-01,1.000000000000000000e+00
2.045697949167408325e+00,4.514399766386185675e-01,1.000000000000000000e+00
-8.027610505671389785e-01,5.685916104415448258e-01,0.000000000000000000e+00
2.182295377149246762e-01,-2.916927467802066798e-01,1.000000000000000000e+00
8.766637308024832764e-01,-2.289069253435463414e-01,1.000000000000000000e+00
1.651102581502905675e-01,1.070360061016350395e+00,0.000000000000000000e+00
-1.908579368369663631e-01,9.046153388029687381e-01,0.000000000000000000e+00
-8.441394210686582744e-02,8.617150723068724982e-01,0.000000000000000000e+00
-2.374615973120965812e-02,8.910079889522244390e-01,0.000000000000000000e+00
8.556981188395942350e-01,-4.935111758490288159e-01,1.000000000000000000e+00
2.040875954299101458e-01,-9.487480384713035952e-02,1.000000000000000000e+00
7.495247436527580076e-01,6.019406585764013329e-01,0.000000000000000000e+00
7.897957875337365818e-01,6.518433598854709299e-01,0.000000000000000000e+00
1.617102252104701154e+00,-3.861041844509908172e-01,1.000000000000000000e+00
1.038932713731598678e+00,-5.110601727705788022e-01,1.000000000000000000e+00
6.458230479357001119e-01,-2.399215710848070227e-01,1.000000000000000000e+00
-8.354917642790976595e-01,6.433313142566221554e-01,0.000000000000000000e+00
1.889161280068024418e+00,-5.415634042943640036e-02,1.000000000000000000e+00
6.207478685632406012e-01,7.601378814635281200e-01,0.000000000000000000e+00
9.987203300523729288e-01,-5.451989424701648712e-01,1.000000000000000000e+00
-3.356993591712262859e-01,9.157712689150359076e-01,0.000000000000000000e+00
